Номер;Назавние;Рейтинг;Год;Страна;Жанр;Режисёр
97;Камуфляж и шпионаж;8.4*;2019;США;анимация, фантастика;Трой Квон
98;Криминальное чтиво;8.4*;1994;США;драма;Квентин Тарантино
99;Бронкская история;8.4*;1993;США;драма, боевик;Роберт Де Ниро
100;Ржев;8.4*;2019;Россия;военный, драма;Игорь Копылов
101;Соник в кино;8.4*;2019;США;фэнтези;Джефф Фаулер
102;Назад в будущее 3;8.4*;1990;США;приключения, фантастика;Роберт Земекис
103;Кунг-Фу Панда;8.4*;2008;США;комедия, анимация;Марк Осборн
104;Непосредственно Каха;8.4*;2019;Россия;комедия;Виктор Шамиров
105;Остров проклятых;8.4*;2009;США;драма, мистика;Мартин Скорсезе
107;Человек с бульвара Капуцинов;8.4*;1987;СССР;комедия, мелодрама;Алла Сурикова
108;Т-34;8.4*;2018;Россия;военный, боевик;Алексей Сидоров
109;Хэнкок;8.4*;2008;США;комедия, фантастика;Питер Берг
110;Пираты Карибского моря: Мертвецы не рассказывают сказки;8.4*;2017;США;комедия, фэнтези;Хоаким Роннинг
111;Ледниковый период;8.4*;2002;США;комедия, приключения;Карлос Салдана
112;Принц Персии: Пески времени;8.4*;2010;США;приключения, мелодрама;Майк Ньюэлл
113;Логан;8.4*;2017;США;боевик, фантастика;Джеймс Мэнголд
114;Пираты Карибского моря: Сундук мертвеца;8.4*;2006;США;боевик, сказка;Гор Вербински
115;Один день;8.4*;2011;Великобритания;комедия, мелодрама;Лоне Шерфиг
116;Подарок на Рождество;8.3*;1996;США;комедия, боевик;Брайан Ливант
117;Живая сталь;8.3*;2011;США;драма, боевик;Шон Леви
118;Хоббит: Нежданное путешествие;8.3*;2012;США;фэнтези, приключения;Питер Джексон
119;Господин Никто;8.3*;2009;Бельгия / Канада / Франция;фантастика, фэнтези;Жако Ван Дормель
120;Офицеры;8.3*;1971;СССР;драма, мелодрама;Владимир Роговой
121;Волшебное кольцо (сборник мультфильмов);8.3*;1979;СССР;детский, короткометражный;Леонид Носырев
122;Гарри Поттер и Дары смерти. Часть первая;8.3*;2010;США / Великобритания;семейный, фэнтези;Дэвид Йейтс
123;Майкл Джексон: Вот и все;8.3*;2009;США;документальный, мюзикл;Кенни Ортега
124;Шерлок Холмс: Игра теней;8.3*;2011;США;приключения, криминал;Гай Ричи
125;Добрыня Никитич и Змей Горыныч;8.3*;2006;Россия;сказка, комедия;Илья Максимов
126;Служебный роман;8.3*;1977;СССР;мелодрама, комедия;Эльдар Рязанов
127;Сонная лощина;8.3*;1999;США;триллер, ужасы;Тим Бертон
128;Притворись моей женой;8.3*;2011;США;мелодрама, комедия;Деннис Дуган
129;Джуманджи;8.3*;1995;США;семейный, триллер;Джо Джонстон
130;Университет монстров;8.3*;2013;США;комедия, семейный;Дэн Скэнлон
131;Чужой;8.3*;1979;США / Великобритания;ужасы, фантастика;Ридли Скотт
132;РЭД;8.3*;2010;США;комедия, боевик;Роберт Швентке
133;Жизнь, как она есть;8.3*;2010;США;комедия;Грег Берланти
134;Властелин Колец: Две крепости;8.3*;2002;США / Новая Зеландия / Германия;приключения, фэнтези;Питер Джексон
135;Тролли. Мировой тур;8.3*;2020;США;анимация, детский;Уолт Дорн
136;Грань будущего;8.3*;2014;США;фантастика, боевик;Даг Лайман
137;Шрэк;8.3*;2001;США;анимация, семейный;Эндрю Адамсон
138;От заката до рассвета;8.3*;1995;США;боевик, триллер;Роберт Родригес
139;Телохранитель киллера;8.3*;2017;США;боевик, комедия;Патрик Хьюз
140;"Всегда говори ""Да""";8.3*;2008;США;комедия;Пейтон Рид
141;Трансформеры;8.3*;2007;США;боевик, приключения;Майкл Бэй
142;Адвокат дьявола;8.3*;1997;США / Германия;триллер, драма;Тэйлор Хэкфорд
143;Форсаж 5;8.3*;2011;США;боевик, приключения;Джастин Лин
144;Первому игроку приготовиться;8.3*;2018;США;фантастика, боевик;Стивен Спилберг
145;28 панфиловцев;8.3*;2016;Россия;военный, драма;Ким Дружинин
146;Гарри Поттер и философский камень;8.3*;2001;Великобритания / США;приключения, семейный;Крис Коламбус
147;Апокалипсис;8.3*;2006;США;боевик, приключения;Мэл Гибсон
148;Доберман;8.3*;1997;Франция;боевик;Жан Коунен
149;Сумерки. Сага. Рассвет: Часть 1;8.3*;2011;США;фэнтези, мелодрама;Билл Кондон
150;Ледниковый период 3: Эра динозавров;8.3*;2009;США;приключения, анимация;Карлос Салдана
151;Дневник памяти;8.3*;2004;США;драма, мелодрама;Ник Кассаветис
152;Красавица и чудовище;8.3*;1991;США;сказка, мелодрама;Гэри Троусдейл
153;День сурка;8.3*;1993;США;комедия, мелодрама;Харолд Рэймис
154;Маска;8.3*;1994;США;фэнтези, криминал;Чарлз Расселл
155;Тор: Рагнарёк;8.3*;2017;США;фэнтези, драма;Тайка Вайтити
156;Аквамен;8.3*;2018;США;фантастика, приключения;Джеймс Ван
157;Молот;8.2*;2016;Россия;драма, спорт;Нурбек Эген
158;Гарри Поттер и кубок огня;8.2*;2005;США / Великобритания;семейный, приключения;Майк Ньюэлл
159;Темный рыцарь;8.2*;2008;США;драма, мистика;Кристофер Нолан
160;Семь;8.2*;1995;США;мистика, криминал;Дэвид Финчер
161;По соображениям совести;8.2*;2016;США;военный, драма;Мэл Гибсон
162;Убойные каникулы;8.2*;2009;Канада;комедия;Элай Крэйг
163;Механик;8.2*;2011;США;драма, боевик;Саймон Уэст
164;Три метра над уровнем неба;8.2*;2010;Испания;драма;Фернандо Гонзалез Молина
165;Корпорация Монстров;8.2*;2001;США;семейный, сказка;Пит Доктер
166;Джуманджи: Новый уровень;8.2*;2019;США;приключения, комедия;Джейк Кэздан
167;300 спартанцев;8.2*;2007;США;приключения, драма;Зак Снайдер
168;Жестокие игры;8.2*;1999;США;мелодрама, драма;Роджер Камбл
169;Паваротти;8.2*;2019;США / Великобритания;документальный, биография;Рон Ховард
170;Рио;8.2*;2011;США;комедия, семейный;Карлос Салдана
171;Впритык;8.2*;2010;США;комедия;Тодд Филлипс
172;Проза бродячих псов. Фильм;8.2*;2018;Япония;анимация, аниме;Такуя Игараси
173;О чем говорят мужчины;8.2*;2010;Россия;комедия;Дмитрий Дьяченко
174;Варкрафт;8.2*;2016;США;приключения, боевик;Дункан Джонс
175;Стражи Галактики. Часть 2;8.2*;2017;США;боевик, фантастика;Джеймс Ганн
176;Суперсемейка 2;8.2*;2018;США;анимация, детский;Брэд Берд
177;Звезда родилась;8.2*;2018;США;драма, мелодрама;Брэдли Купер
178;Гонка;8.2*;2012;США;биография, драма;Рон Ховард
179;Доктор Стрэндж;8.2*;2016;США;фэнтези, приключения;Скотт Дерриксон
180;Добро пожаловать, или Посторонним вход воспрещен;8.2*;1964;СССР;семейный, комедия;Элем Климов
181;Робот по имени Чаппи;8.2*;2015;США / Мексика;боевик, триллер;Нил Бломкамп
182;Лучшее предложение;8.2*;2013;Италия;мелодрама, драма;Джузеппе Торнаторе
183;Крепкий орешек 4.0;8.2*;2007;США;приключения, триллер;Лен Уайзман
184;Помни меня;8.2*;2010;США;драма, мелодрама;Аллен Култер
185;Мальчишник 2: Из Вегаса в Бангкок;8.2*;2011;США;комедия;Тодд Филлипс
186;Астрал;8.2*;2011;США;ужасы, триллер;Джеймс Ван
187;Время;8.2*;2011;США;фантастика;Эндрю Никкол
188;Собачья жизнь;8.2*;2017;США;драма, комедия;Лассе Халльстрем
189;Рататуй;8.2*;2007;США;комедия, семейный;Брэд Берд
190;Салют-7;8.2*;2017;Россия;драма, исторический;Клим Шипенко
191;Девчата;8.2*;1961;СССР;мелодрама, комедия;Юрий Чулюкин
192;Мстители;8.2*;2012;США;боевик;Джосс Уидон
193;Доживем до понедельника;8.2*;1968;СССР;драма, мелодрама;Станислав Ростоцкий
194;Заложница;8.2*;2008;Франция;триллер, боевик;Пьер Морель
195;Люди Икс: Начало. Росомаха;8.2*;2009;США / Новая Зеландия / Австралия;фантастика, боевик;Гэвин Худ
196;Король говорит!;8.2*;2010;Великобритания / Австралия;драма, исторический;Том Хупер
197;Престиж;8.2*;2006;США / Великобритания;сказка, триллер;Кристофер Нолан
198;Голая правда;8.2*;2009;США;мелодрама, комедия;Роберт Лукетич
199;Человек-паук: Через вселенные;8.2*;2018;США;анимация, приключения;Боб Персичетти
200;Дитя погоды;8.2*;2019;Япония;аниме , мелодрама;Макото Синкай
201;Люди в черном;8.2*;1997;США;боевик;Барри Зонненфельд
202;Вольт;8.2*;2008;США;анимация, комедия;Крис Уильямс
203;Время первых;8.2*;2017;Россия;драма, исторический;Дмитрий Киселев
204;Мадагаскар 2;8.2*;2008;США;сказка, семейный;Эрик Дарнелл
205;После;8.2*;2019;США;драма, мелодрама;Дженни Гейдж
206;Непрощенный;8.2*;2018;Россия;драма;Сарик Андреасян
207;Мистер и миссис Смит;8.2*;2005;США;триллер, приключения;Даг Лайман
208;Человек с киноаппаратом;8.2*;1929;СССР;документальный;Дзига Вертов
209;Джокер;8.2*;2019;США;криминал, драма;Тодд Филлипс
210;Смертельная гонка;8.2*;2008;США;фантастика, триллер;Пол У. С. Андерсон
211;Рождество на двоих;8.2*;2019;США;мелодрама, комедия;Пол Фиг
212;Величайший шоумен;8.2*;2018;США;мюзикл, биография;Майкл Грэйси
213;Неадекватные люди;8.2*;2010;Россия;комедия;Роман Каримов
214;Мадагаскар 3;8.2*;2012;США;анимация, семейный;Эрик Дарнелл
215;Предложение;8.2*;2009;США;мелодрама, комедия;Энн Флетчер
216;Миллионер из трущоб;8.2*;2008;Великобритания;мелодрама, драма;Дэнни Бойл
217;Заклятие;8.2*;2013;США;триллер, ужасы;Джеймс Ван
218;Лучшее во мне;8.2*;2014;США;мелодрама, драма;Майкл Хоффман
219;Константин: повелитель тьмы;8.2*;2005;США / Германия;триллер, боевик;Френсис Лоуренс
220;Эквилибриум;8.2*;2002;США;фантастика, триллер;Курт Уиммер
221;Иллюзия обмана;8.2*;2013;США;криминал, триллер;Луи Летерье
223;Крепкий орешек;8.2*;1988;США;триллер, криминал;Джон МакТирнан
224;Исчезнувшая;8.2*;2014;США;триллер, драма;Дэвид Финчер
225;Семья по-быстрому;8.1*;2018;США;комедия;Шон Андерс
226;Трансформеры: Месть падших;8.1*;2009;США;фантастика, приключения;Майкл Бэй
227;Lil Peep: Всё для всех;8.1*;2019;США;документальный;Себастьян Джонс
228;Кунг-Фу Панда 2;8.1*;2011;США;комедия, анимация;Дженнифер Ю
229;Люди Икс: Первый класс;8.1*;2011;США;боевик, фантастика;Мэттью Вон
230;Фиксики против кработов;8.1*;2019;Россия;анимация, детский;Васико Бедошвили
231;Клаустрофобы;8.1*;2019;США;ужасы;Адам Робител
232;Значит, война;8.1*;2011;США;комедия, боевик;МакДжи
